Rank Number,Institution,Country,National Rank,Education Rank,Employability Rank,Faculty Rank,Research Rank,Score,Global_Region,Overall_Score_Normalized
1,Harvard University,USA,1,1,1,1,1,100.0,America,1.0
2,Massachusetts Institute of Technology,USA,2,4,12,2,11,96.8,America,0.9053254437869822
3,Stanford University,USA,3,10,4,3,4,95.2,America,0.8579881656804734
4,University of Cambridge,United Kingdom,1,2,26,4,14,94.1,Europe,0.8254437869822483
5,University of Oxford,United Kingdom,2,7,28,9,6,93.3,Europe,0.801775147928994
6,Princeton University,USA,4,5,15,8,87,92.7,America,0.7840236686390534
7,University of Pennsylvania,USA,5,16,7,29,12,92.1,America,0.7662721893491122
8,Columbia University,USA,6,12,14,10,15,91.6,America,0.7514792899408282
9,Yale University,USA,7,6,31,14,24,91.2,America,0.7396449704142013
10,University of Chicago,USA,8,8,16,22,50,90.8,America,0.7278106508875739
11,California Institute of Technology,USA,9,3,96,6,94,90.5,America,0.7189349112426036
12,"University of California, Berkeley",USA,10,9,57,5,22,90.2,America,0.7100591715976332
13,University of Tokyo,Japan,1,40,6,121,34,89.9,Asia,0.7011834319526629
14,Cornell University,USA,11,15,32,18,26,89.6,America,0.6923076923076921
15,Northwestern University,USA,12,106,17,32,31,89.4,America,0.6863905325443789
16,"University of Michigan, Ann Arbor",USA,13,34,40,57,9,89.1,America,0.6775147928994081
17,"University of California, Los Angeles",USA,14,33,67,17,16,88.9,America,0.6715976331360948
18,Johns Hopkins University,USA,15,26,204,20,8,88.7,America,0.6656804733727811
19,PSL University,France,1,17,30,123,75,88.5,Europe,0.6597633136094674
20,University College London,United Kingdom,3,43,690,15,7,88.3,Europe,0.6538461538461537
21,Duke University,USA,16,55,48,21,27,88.1,America,0.64792899408284
22,University of Illinois at Urbana–Champaign,USA,17,19,155,11,82,87.9,America,0.6420118343195268
23,University of Toronto,Canada,1,219,157,23,5,87.8,America,0.6390532544378698
24,Kyoto University,Japan,2,39,29,62,90,87.6,Asia,0.633136094674556
25,New York University,USA,18,42,49,40,54,87.5,America,0.6301775147928994
26,University of Washington,USA,19,74,225,24,10,87.3,America,0.6242603550295857
27,McGill University,Canada,2,27,107,48,55,87.2,America,0.6213017751479291
28,Imperial College London,United Kingdom,4,66,137,49,17,87.0,Europe,0.6153846153846153
29,Paris City University,France,2,250,974,64,3,86.9,Europe,0.6124260355029587
30,University of Wisconsin–Madison,USA,20,38,115,34,45,86.8,America,0.6094674556213017
31,Seoul National University,South Korea,1,298,23,157,57,86.6,Asia,0.6035502958579879
32,ETH Zurich,Switzerland,1,65,91,26,43,86.5,Europe,0.6005917159763313
33,"University of California, San Diego",USA,21,114,1473,12,25,86.4,America,0.5976331360946747
34,Paris-Saclay University,France,3,152,134,47,18,86.3,Europe,0.5946745562130177
35,Institut Polytechnique de Paris,France,4,96,8,198,246,86.2,Europe,0.591715976331361
36,University of Texas at Austin,USA,22,92,66,13,68,86.1,America,0.5887573964497039
37,Tsinghua University,China,1,369,50,,13,86.0,Asia,0.5857988165680473
38,University of Copenhagen,Denmark,1,91,385,45,28,85.9,Europe,0.5828402366863906
39,"University of California, San Francisco",USA,23,,1601,16,29,85.8,America,0.5798816568047336
40,University of North Carolina at Chapel Hill,USA,24,80,90,78,40,85.7,America,0.576923076923077
41,Karolinska Institute,Sweden,1,41,,38,60,85.6,Europe,0.5739644970414199
42,King's College London,United Kingdom,5,54,590,27,56,85.5,Europe,0.5710059171597632
