latest.admissions.admission_rate.overall,latest.cost.tuition.in_state,latest.completion.rate_suppressed.lt_four_year_150percent,latest.completion.rate_suppressed.four_year,latest.completion.rate_suppressed.lt_four_year,latest.completion.rate_suppressed.four_year_200percent,latest.completion.rate_suppressed.four_year_100_pooled,latest.completion.rate_suppressed.lt_four_year_100_pooled,latest.completion.rate_suppressed.consumer.median_by_pred_degree,latest.completion.rate_suppressed.consumer.overall_median,latest.completion.rate_suppressed_pell.lt_four_year_150_pooled,latest.completion.rate_suppressed_pell.four_year_150_pooled,latest.completion.rate_suppressed.overall,school.name,school.city,school.state,school.degrees_awarded.highest,school.ownership,id,location.lat,location.lon
0.6622,10024.0,,0.2772,,0.3067,0.1373,,0.5839,0.5859,,0.2674,0.2772,Alabama A & M University,Normal,AL,4,1,100654,34.783368,-86.568502
0.8842,8832.0,,0.6345,,0.6418,0.4382,,0.5839,0.5859,,0.5497,0.6345,University of Alabama at Birmingham,Birmingham,AL,4,1,100663,33.505697,-86.799345
,,,,,,,,0.5839,0.5859,,,,Amridge University,Montgomery,AL,4,2,100690,32.362609,-86.17401
0.7425,11770.0,,0.624,,0.623,0.4005,,0.5839,0.5859,,0.4942,0.624,University of Alabama in Huntsville,Huntsville,AL,4,1,100706,34.724557,-86.640449
0.9564,11248.0,,0.2884,,0.3227,0.1356,,0.5839,0.5859,,0.2728,0.2884,Alabama State University,Montgomery,AL,4,1,100724,32.364317,-86.295677
0.7582,11900.0,,0.7322,,0.7314,0.5552,,0.5839,0.5859,,0.5908,0.7322,The University of Alabama,Tuscaloosa,AL,4,1,100751,33.211875,-87.545978
,5040.0,0.2261,,0.2566,,,0.179,0.6654,0.5859,0.1748,,0.2261,Central Alabama Community College,Alexander City,AL,2,1,100760,32.92478,-85.945266
,,,,,,,,0.5839,0.5859,,,,Athens State University,Athens,AL,4,1,100812,34.806793,-86.964698
0.9263,9436.0,,0.3576,,0.3699,0.1403,,0.5839,0.5859,,0.3269,0.3576,Auburn University at Montgomery,Montgomery,AL,4,1,100830,32.36736,-86.177544
0.5047,12536.0,,0.7996,,0.8119,0.5624,,0.5839,0.5859,,0.6845,0.7996,Auburn University,Auburn,AL,4,1,100858,32.599378,-85.488258
0.5194,22750.0,,0.644,,0.7071,0.5702,,0.5839,0.5859,,0.5367,0.644,Birmingham-Southern College,Birmingham,AL,3,2,100937,33.513774,-86.850552
,5040.0,0.3016,,0.2343,,,0.204,0.6654,0.5859,0.2248,,0.3016,Chattahoochee Valley Community College,Phenix City,AL,2,1,101028,32.42391,-85.031485
,18238.0,,0.1143,,0.1539,0.0793,,0.5839,0.5859,,0.0896,0.1143,South University-Montgomery,Montgomery,AL,4,3,101116,32.342684,-86.216488
,5040.0,0.2919,,0.3417,,,0.1719,0.6654,0.5859,0.2426,,0.2919,Enterprise State Community College,Enterprise,AL,2,1,101143,31.297496,-85.836956
,4980.0,0.2408,,0.2589,,,0.1612,0.3315,0.5859,0.2154,,0.2408,Coastal Alabama Community College,Bay Minette,AL,2,1,101161,30.851343,-87.778193
0.6613,23920.0,,0.3537,,0.2319,0.2096,,0.5839,0.5859,,0.2597,0.3537,Faulkner University,Montgomery,AL,4,2,101189,32.384181,-86.21641
,4032.0,0.2822,,0.3375,,,0.1726,0.6654,0.5859,0.2558,,0.2822,Gadsden State Community College,Gadsden,AL,2,1,101240,33.994001,-85.991438
,,0.5735,,0.6286,,,0.1471,0.6654,0.5859,0.662,,0.5735,New Beginning College of Cosmetology,Albertville,AL,1,3,101277,34.27871,-86.196931
,4920.0,0.2837,,0.3262,,,0.1798,0.6654,0.5859,0.2441,,0.2837,George C Wallace Community College-Dothan,Dothan,AL,2,1,101286,31.315274,-85.465836
,4980.0,0.4678,,0.4729,,,0.2881,0.6654,0.5859,0.3914,,0.4678,George C Wallace State Community College-Hanceville,Hanceville,AL,2,1,101295,34.072439,-86.781935
,4680.0,0.3762,,0.3854,,,0.2667,0.3315,0.5859,0.371,,0.3762,George C Wallace State Community College-Selma,Selma,AL,2,1,101301,32.445917,-87.013294
0.9449,13420.0,,0.2941,,,,,0.6654,0.5859,,0.2264,0.2941,Herzing University-Birmingham,Birmingham,AL,4,2,101365,33.468466,-86.832465
0.7083,28650.0,,0.4851,,0.4331,0.3888,,0.5839,0.5859,,0.4339,0.4851,Huntingdon College,Montgomery,AL,4,2,101435,32.351034,-86.284366
1.0,11982.0,,,,,,,0.5839,0.5859,,,,Heritage Christian University,Florence,AL,4,2,101453,34.856153,-87.663051
,5130.0,0.1168,,0.1757,,,0.073,0.6654,0.5859,0.0804,,0.1168,J. F. Drake State Community and Technical College,Huntsville,AL,2,1,101462,34.771858,-86.572885
,6084.0,0.0958,,0.1609,,,0.0383,0.6654,0.5859,0.093,,0.0958,J F Ingram State Technical College,Deatsville,AL,1,1,101471,32.582312,-86.392369
0.7622,12426.0,,0.5172,,0.5009,0.3138,,0.5839,0.5859,,0.4146,0.5172,Jacksonville State University,Jacksonville,AL,4,1,101480,33.822938,-85.765321
,5040.0,0.2243,,0.2733,,,0.1101,0.3315,0.5859,0.2238,,0.2243,Jefferson State Community College,Birmingham,AL,2,1,101505,33.652535,-86.707233
,5060.0,0.3808,,0.3954,,,0.2527,0.6654,0.5859,0.3084,,0.3808,John C Calhoun State Community College,Tanner,AL,2,1,101514,34.645844,-86.949674
,4980.0,0.2427,,0.2659,,,0.1644,0.3315,0.5859,0.223,,0.2427,Lawson State Community College,Birmingham,AL,2,1,101569,33.450814,-86.888844
0.8711,10990.0,,0.3823,,0.4345,0.2394,,0.5839,0.5859,,0.3536,0.3823,University of West Alabama,Livingston,AL,4,1,101587,32.588132,-88.186329
,4980.0,0.3752,,0.5783,,,0.2969,0.6654,0.5859,0.4441,,0.3752,Lurleen B Wallace Community College,Andalusia,AL,2,1,101602,31.322947,-86.452262
0.5917,9538.0,0.2898,,0.3098,,,0.2476,0.3315,0.5859,0.3105,,0.2898,Marion Military Institute,Marion,AL,2,1,101648,32.623734,-87.322041
,12714.0,,0.2609,,0.2489,0.1571,,0.5839,0.5859,,0.2278,0.2609,Miles College,Fairfield,AL,3,2,101675,33.482442,-86.908751
0.7251,26120.0,,0.5067,,0.5054,0.4178,,0.5839,0.5859,,0.5224,0.5067,University of Mobile,Mobile,AL,4,2,101693,30.793247,-88.128934
0.539,13710.0,,0.5204,,0.5412,0.3717,,0.5839,0.5859,,0.4778,0.5204,University of Montevallo,Montevallo,AL,4,1,101709,33.10625,-86.865099
,5071.0,0.2952,,0.3534,,,0.1974,0.6654,0.5859,0.2405,,0.2952,Northwest Shoals Community College,Muscle Shoals,AL,2,1,101736,34.739788,-87.678089
0.9648,11990.0,,0.5314,,0.528,0.317,,0.5839,0.5859,,0.4111,0.5314,University of North Alabama,Florence,AL,4,1,101879,34.80731,-87.680407
,4980.0,0.3916,,0.5099,,,0.2747,0.6654,0.5859,0.3502,,0.3916,Northeast Alabama Community College,Rainsville,AL,2,1,101897,34.545471,-85.911664
0.5051,21838.0,,0.4775,,0.5128,0.3248,,0.5839,0.5859,,0.3602,0.4775,Oakwood University,Huntsville,AL,4,2,101912,34.756344,-86.652705
,6100.0,0.4845,,0.3955,,,0.3917,0.6654,0.5859,0.4844,,0.4845,Reid State Technical College,Evergreen,AL,2,1,101994,31.460265,-86.964797
,5280.0,0.2241,,0.2748,,,0.1675,0.6654,0.5859,0.1297,,0.2241,Bishop State Community College,Mobile,AL,2,1,102030,30.693972,-88.056982
0.8223,38144.0,,0.788,,0.7894,0.706,,0.5839,0.5859,,0.6624,0.788,Samford University,Birmingham,AL,4,2,102049,33.464128,-86.791799
,4800.0,,0.24,,0.0216,0.0444,,0.5839,0.5859,,0.2791,0.24,Selma University,Selma,AL,4,2,102058,32.420387,-87.032392
,5067.0,0.2224,,0.2835,,,0.1304,0.6654,0.5859,0.2184,,0.2224,Shelton State Community College,Tuscaloosa,AL,2,1,102067,33.120531,-87.56148
,5472.0,0.4364,,0.4571,,,0.367,0.6654,0.5859,0.4336,,0.4364,Snead State Community College,Boaz,AL,2,1,102076,34.201495,-86.169897
0.6549,9676.0,,0.5006,,0.4837,0.3246,,0.5839,0.5859,,0.4523,0.5006,University of South Alabama,Mobile,AL,4,1,102094,30.696033,-88.178711
0.591,23270.0,,0.5882,,0.5753,0.511,,0.5839,0.5859,,0.4467,0.5882,Spring Hill College,Mobile,AL,4,2,102234,30.694751,-88.138199
0.7422,11392.0,,0.3264,,0.1886,0.1901,,0.5839,0.5859,,0.3144,0.3264,Stillman College,Tuscaloosa,AL,3,2,102270,33.200006,-87.585278
0.9925,15650.0,,0.5119,,0.2647,0.4687,,0.5839,0.5859,,0.5973,0.5119,Talladega College,Talladega,AL,4,2,102298,33.433472,-86.112704
,4890.0,0.1905,,0.2931,,,0.1014,0.3315,0.5859,0.1916,,0.1905,H Councill Trenholm State Community College,Montgomery,AL,2,1,102313,32.350109,-86.343057
0.9261,9792.0,,0.4619,,0.5232,0.2609,,0.5839,0.5859,,0.3873,0.4619,Troy University,Troy,AL,4,1,102368,31.799583,-85.95802
0.3143,23440.0,,0.6184,,0.5475,0.3195,,0.5839,0.5859,,0.7977,0.6184,Tuskegee University,Tuskegee,AL,4,2,102377,32.4309,-85.708492
0.3529,18900.0,,,,,,,0.5839,0.5859,,,,United States Sports Academy,Daphne,AL,4,2,102395,30.639329,-87.91163
,4678.0,0.3914,,0.399,,,0.2442,0.6654,0.5859,0.3358,,0.3914,Bevill State Community College,Jasper,AL,2,1,102429,33.837056,-87.265258
0.6652,7566.0,,0.2944,,0.3578,0.1483,,0.5839,0.5859,,0.2208,0.2944,University of Alaska Anchorage,Anchorage,AK,4,1,102553,61.190163,-149.82619
,10930.0,,,,,,,0.5839,0.5859,,,,Alaska Bible College,Palmer,AK,3,2,102580,61.598553,-149.111972
,8640.0,,0.3532,,0.4667,0.2321,,0.5839,0.5859,,0.2541,0.3532,University of Alaska Fairbanks,Fairbanks,AK,4,1,102614,64.85756,-147.823146
0.625,6960.0,,0.2821,,0.2338,0.2,,0.6654,0.5859,,0.2022,0.2821,University of Alaska Southeast,Juneau,AK,4,1,102632,58.384846,-134.638255
0.8621,20760.0,,0.4118,,0.3519,0.103,,0.5839,0.5859,,0.3214,0.4118,Alaska Pacific University,Anchorage,AK,4,2,102669,61.190968,-149.804168
,,0.8579,,0.9132,,,0.8579,0.6654,0.5859,1.0,,0.8579,Alaska Vocational Technical Center,Seward,AK,1,1,102711,60.110626,-149.444487
,18678.0,,0.5621,,,0.009,,0.6654,0.5859,,0.5529,0.5621,Charter College,Anchorage,AK,3,3,102845,61.19633,-149.839274
,,0.6777,,0.7211,,,0.6777,0.6654,0.5859,0.7373,,0.6777,Alaska Career College,Anchorage,AK,2,3,103501,61.181443,-149.856954
,,0.6767,,0.5893,,,0.0602,0.6654,0.5859,0.6698,,0.6767,Empire Beauty School-Tucson,Tucson,AZ,1,3,103741,32.235657,-110.927187
,,0.5376,,0.611,,,0.3726,0.6654,0.5859,0.5395,,0.5376,Carrington College-Phoenix North,Phoenix,AZ,2,3,103893,33.565758,-112.104601
,,0.495,,0.5527,,,0.3308,0.6654,0.5859,0.4858,,0.495,Carrington College-Mesa,Mesa,AZ,2,3,103909,33.39248,-111.853218
,,0.5947,,0.6584,,,0.4345,0.6654,0.5859,0.6215,,0.5947,Carrington College-Tucson,Tucson,AZ,2,3,103927,32.224391,-110.983056
,,0.5116,,0.5682,,,0.4651,0.6654,0.5859,0.5263,,0.5116,Arizona Academy of Beauty,Tucson,AZ,1,3,103954,32.237253,-110.872305
